Instruction,Response
Article 31A of Indian Constitution,"Saving of laws providing for acquisition of estates, etc ( 1 ) Notwithstanding anything contained in Article 13, no law providing for
(a) the acquisition by the State of any estate or of any rights therein or the extinguishment or modification of any such rights, or
(b) the taking over of the management of any property by the State for a limited period either in the public interest or in order to secure the proper management of the property, or
(c) the amalgamation of two or more corporations either in the public interest or in order to secure the proper management of any of the corporations, or
(d) the extinguishment or modification of any rights of managing agents, secretaries and treasurers, managing directors, directors or managers of corporations, or of any voting rights of shareholders thereof, or
(e) the extinguishment or modification of any rights accruing by virtue of any agreement, lease or licence for the purpose of searching for, or winning, any mineral or mineral oil, or the premature termination or cancellation of any such agreement, lease or licence, shall be deemed to be void on the ground that it is inconsistent with, or takes away or abridges any of the rights conferred by Article 14 or Article 19: Provided that where such law is a law made by the Legislature of a State, the provisions of this article shall not apply thereto unless such law, having been reserved for the consideration of the President, has received his assent: Provided further that where any law makes any provision for the acquisition by the State of any estate and where any land comprised therein is held by a person under his personal cultivation, it shall not be lawful for the State to acquire any portion of such land as is within the ceiling limit applicable to him under any law for the time being in force or any building or structure standing thereon or appurtenant thereto, unless the law relating to the acquisition of such land, building or structure, provides for payment of compensation at a rate which shall not be less than the market value thereof""
Article 31B of Indian Constitution,""Validation of certain Acts and Regulations Without prejudice to the generality of the provisions contained in Article 31A, none of the Acts and Regulations specified in the Ninth Schedule nor any of the provisions thereof shall be deemed to be void, or ever to have become void, on the ground that such Act, Regulation or provision is inconsistent with, or takes away or abridges any of the rights conferred by, any provisions of this Part, and notwithstanding any judgment, decree or order of any court or tribunal to the contrary, each of the said Acts and Regulations shall, subject to the power of any competent Legislature to repeal or amend it, continue in force"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 31B of Indian Constitution,"Validation of certain Acts and Regulations Without prejudice to the generality of the provisions contained in Article 31A, none of the Acts and Regulations specified in the Ninth Schedule nor any of the provisions thereof shall be deemed to be void, or ever to have become void, on the ground that such Act, Regulation or provision is inconsistent with, or takes away or abridges any of the rights conferred by, any provisions of this Part, and notwithstanding any judgment, decree or order of any court or tribunal to the contrary, each of the said Acts and Regulations shall, subject to the power of any competent Legislature to repeal or amend it, continue in force""
Article 31C of Indian Constitution,""Saving of laws giving effect to certain directive principles Notwithstanding anything contained in Article 13, no law giving effect to the policy of the State towards securing all or any of the principles laid down in Part IV shall be deemed to be void on the ground that it is inconsistent with, or takes away or abridges any of the rights conferred by Article 14 or Article 19 and no law containing a declaration that it is for giving effect to such policy shall be called in question in any court on the ground that it does not give effect to such policy: Provided that where such law is made by the Legislature of a State, the provisions of this Article shall not apply thereto unless such law, having been reserved for the consideration of the President, has received his assent Right to Constitutional Remedies"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 31C of Indian Constitution,"Saving of laws giving effect to certain directive principles Notwithstanding anything contained in Article 13, no law giving effect to the policy of the State towards securing all or any of the principles laid down in Part IV shall be deemed to be void on the ground that it is inconsistent with, or takes away or abridges any of the rights conferred by Article 14 or Article 19 and no law containing a declaration that it is for giving effect to such policy shall be called in question in any court on the ground that it does not give effect to such policy: Provided that where such law is made by the Legislature of a State, the provisions of this Article shall not apply thereto unless such law, having been reserved for the consideration of the President, has received his assent Right to Constitutional Remedies""
Article 32 of Indian Constitution,""Remedies for enforcement of rights conferred by this Part
(1) The right to move the Supreme Court by appropriate proceedings for the enforcement of the rights conferred by this Part is guaranteed
(2) The Supreme Court shall have power to issue directions or orders or writs, including writs in the nature of habeas corpus, mandamus, prohibition, quo warranto and certiorari, whichever may be appropriate, for the enforcement of any of the rights conferred by this Part
(3) Without prejudice to the powers conferred on the Supreme Court by clause ( 1 ) and ( 2 ), Parliament may by law empower any other court to exercise within the local limits of its jurisdiction all or any of the powers exercisable by the Supreme Court under clause ( 2 )
(4) The right guaranteed by this article shall not be suspended except as otherwise provided for by this Constitution"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 32 of Indian Constitution,"Remedies for enforcement of rights conferred by this Part
(1) The right to move the Supreme Court by appropriate proceedings for the enforcement of the rights conferred by this Part is guaranteed
(2) The Supreme Court shall have power to issue directions or orders or writs, including writs in the nature of habeas corpus, mandamus, prohibition, quo warranto and certiorari, whichever may be appropriate, for the enforcement of any of the rights conferred by this Part
(3) Without prejudice to the powers conferred on the Supreme Court by clause ( 1 ) and ( 2 ), Parliament may by law empower any other court to exercise within the local limits of its jurisdiction all or any of the powers exercisable by the Supreme Court under clause ( 2 )
(4) The right guaranteed by this article shall not be suspended except as otherwise provided for by this Constitution""
Article 33 of Indian Constitution,""Power of Parliament to modify the rights conferred by this Part in their application etc Parliament may, by law, determine to what extent any of the rights conferred by this Part shall, in their application to,
(a) the members of the Armed Forces; or
(b) the members of the Forces charged with the maintenance of public order; or
(c) persons employed in any bureau or other organisation established by the State for purposes of intelligence or counter intelligence; or
(d) persons employed in, or in connection with, the telecommunication systems set up for the purposes of any Force, bureau or organisation referred to in clauses (a) to (c), be restricted or abrogated so as to ensure the proper discharge of their duties and the maintenance of discipline among them"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 33 of Indian Constitution,"Power of Parliament to modify the rights conferred by this Part in their application etc Parliament may, by law, determine to what extent any of the rights conferred by this Part shall, in their application to,
(a) the members of the Armed Forces; or
(b) the members of the Forces charged with the maintenance of public order; or
(c) persons employed in any bureau or other organisation established by the State for purposes of intelligence or counter intelligence; or
(d) persons employed in, or in connection with, the telecommunication systems set up for the purposes of any Force, bureau or organisation referred to in clauses (a) to (c), be restricted or abrogated so as to ensure the proper discharge of their duties and the maintenance of discipline among them""
Article 34 of Indian Constitution,""Restriction on rights conferred by this Part while martial law is in force in any area Notwithstanding anything in the foregoing provisions of this Part, Parliament may by law indemnify any person in the service of the Union or of a State or any other person in respect of any act done by him in connection with the maintenance or restoration of order in any area within the territory of India where martial law was in force or validate any sentence passed, punishment inflicted, forfeiture ordered or other act done under martial law in such area"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 34 of Indian Constitution,"Restriction on rights conferred by this Part while martial law is in force in any area Notwithstanding anything in the foregoing provisions of this Part, Parliament may by law indemnify any person in the service of the Union or of a State or any other person in respect of any act done by him in connection with the maintenance or restoration of order in any area within the territory of India where martial law was in force or validate any sentence passed, punishment inflicted, forfeiture ordered or other act done under martial law in such area""
Article 35 of Indian Constitution,""Legislation to give effect to the provisions of this Part Notwithstanding anything in this Constitution,
(a) Parliament shall have, and the Legislature of a State shall not have, power to make laws
(i) with respect to any of the matters which under clause ( 3 ) of Article 16, clause ( 3 ) of Article 32, Article 33 and Article 34 may be provided for by law made by Parliament; and
(ii) for prescribing punishment for those acts which are declared to be offences under this Part; and Parliament shall, as soon as may be after the commencement of this Constitution, make laws for prescribing punishment for the acts referred to in sub clause (ii);
(b) any law in force immediately before the commencement of this Constitution in the territory of India with respect to any of the matters referred to in sub clause (i) of clause (a) or providing for punishment for any act referred to in sub clause (ii) of that clause shall, subject to the terms there of and to any adaptations and modifications that may be made therein under Article 372, continue in force until altered or repealed or amended by Parliament Explanation In this article, the expression law in force has the same meaning as in Article 372 PART IV DIRECTIVE PRINCIPLES OF STATE POLICY"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 35 of Indian Constitution,"Legislation to give effect to the provisions of this Part Notwithstanding anything in this Constitution,
(a) Parliament shall have, and the Legislature of a State shall not have, power to make laws
(i) with respect to any of the matters which under clause ( 3 ) of Article 16, clause ( 3 ) of Article 32, Article 33 and Article 34 may be provided for by law made by Parliament; and
(ii) for prescribing punishment for those acts which are declared to be offences under this Part; and Parliament shall, as soon as may be after the commencement of this Constitution, make laws for prescribing punishment for the acts referred to in sub clause (ii);
(b) any law in force immediately before the commencement of this Constitution in the territory of India with respect to any of the matters referred to in sub clause (i) of clause (a) or providing for punishment for any act referred to in sub clause (ii) of that clause shall, subject to the terms there of and to any adaptations and modifications that may be made therein under Article 372, continue in force until altered or repealed or amended by Parliament Explanation In this article, the expression law in force has the same meaning as in Article 372 PART IV DIRECTIVE PRINCIPLES OF STATE POLICY""
Article 36 of Indian Constitution,""Definition In this Part, unless the context otherwise requires, the State has the same meaning as in Part III"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 36 of Indian Constitution,"Definition In this Part, unless the context otherwise requires, the State has the same meaning as in Part III""
Article 37 of Indian Constitution,""Application of the principles contained in this Part The provisions contained in this Part shall not be enforceable by any court, but the principles therein laid down are nevertheless fundamental in the governance of the country and it shall be the duty of the State to apply these principles in making laws"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 37 of Indian Constitution,"Application of the principles contained in this Part The provisions contained in this Part shall not be enforceable by any court, but the principles therein laid down are nevertheless fundamental in the governance of the country and it shall be the duty of the State to apply these principles in making laws""
Article 38 of Indian Constitution,""State to secure a social order for the promotion of welfare of the people
(1) The State shall strive to promote the welfare of the people by securing and protecting as effectively as it may a social order in which justice, social, economic and political, shall inform all the institutions of the national life
(2) The State shall, in particular, strive to minimize the inequalities in income, and endeavor to eliminate inequalities in status, facilities and opportunities, not only amongst individuals but also amongst groups of people residing in different areas or engaged in different vocations"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 38 of Indian Constitution,"State to secure a social order for the promotion of welfare of the people
(1) The State shall strive to promote the welfare of the people by securing and protecting as effectively as it may a social order in which justice, social, economic and political, shall inform all the institutions of the national life
(2) The State shall, in particular, strive to minimize the inequalities in income, and endeavor to eliminate inequalities in status, facilities and opportunities, not only amongst individuals but also amongst groups of people residing in different areas or engaged in different vocations""
Article 39 of Indian Constitution,""Certain principles of policy to be followed by the State: The State shall, in particular, direct its policy towards securing
(a) that the citizens, men and women equally, have the right to an adequate means to livelihood;
(b) that the ownership and control of the material resources of the community are so distributed as best to subserve the common good;
(c) that the operation of the economic system does not result in the concentration of wealth and means of production to the common detriment;
(d) that there is equal pay for equal work for both men and women;
(e) that the health and strength of workers, men and women, and the tender age of children are not abused and that citizens are not forced by economic necessity to enter avocations unsuited to their age or strength;
(f) that children are given opportunities and facilities to develop in a healthy manner and in conditions of freedom and dignity and that childhood and youth are protected against exploitation and against moral and material abandonment"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 39 of Indian Constitution,"Certain principles of policy to be followed by the State: The State shall, in particular, direct its policy towards securing
(a) that the citizens, men and women equally, have the right to an adequate means to livelihood;
(b) that the ownership and control of the material resources of the community are so distributed as best to subserve the common good;
(c) that the operation of the economic system does not result in the concentration of wealth and means of production to the common detriment;
(d) that there is equal pay for equal work for both men and women;
(e) that the health and strength of workers, men and women, and the tender age of children are not abused and that citizens are not forced by economic necessity to enter avocations unsuited to their age or strength;
(f) that children are given opportunities and facilities to develop in a healthy manner and in conditions of freedom and dignity and that childhood and youth are protected against exploitation and against moral and material abandonment""
Article 39A of Indian Constitution,""Equal justice and free legal aid The State shall secure that the operation of the legal system promotes justice, on a basis of equal opportunity, and shall, in particular, provide free legal aid, by suitable legislation or schemes or in any other way, to ensure that opportunities for securing justice are not denied to any citizen by reason of economic or other disabilities"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 39A of Indian Constitution,"Equal justice and free legal aid The State shall secure that the operation of the legal system promotes justice, on a basis of equal opportunity, and shall, in particular, provide free legal aid, by suitable legislation or schemes or in any other way, to ensure that opportunities for securing justice are not denied to any citizen by reason of economic or other disabilities""
Article 40 of Indian Constitution,Organisation of village panchayats The State shall take steps to organize village panchayats and endow them with such powers and authority as may be necessary to enable them to function as units of self government,""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 40 of Indian Constitution,"Organisation of village panchayats The State shall take steps to organize village panchayats and endow them with such powers and authority as may be necessary to enable them to function as units of self government""
Article 41 of Indian Constitution,""Right to work, to education and to public assistance in certain cases The State shall, within the limits of its economic capacity and development, make effective provision for securing the right to work, to education and to public assistance in cases of unemployment, old age, sickness and disablement, and in other cases of undeserved want"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 41 of Indian Constitution,"Right to work, to education and to public assistance in certain cases The State shall, within the limits of its economic capacity and development, make effective provision for securing the right to work, to education and to public assistance in cases of unemployment, old age, sickness and disablement, and in other cases of undeserved want""
Article 42 of Indian Constitution,Provision for just and humane conditions of work and maternity relief The State shall make provision for securing just and humane conditions of work and for maternity relief,""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 42 of Indian Constitution,"Provision for just and humane conditions of work and maternity relief The State shall make provision for securing just and humane conditions of work and for maternity relief""
Article 43 of Indian Constitution,""Living wage, etc, for workers The State shall endeavour to secure, by suitable legislation or economic organisation or in any other way, to all workers, agricultural, industrial or otherwise, work, a living wage, conditions of work ensuring a decent standard of life and full enjoyment of leisure and social and cultural opportunities and, in particular, the State shall endeavour to promote cottage industries on an individual or co operative basis in rural areas"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 43 of Indian Constitution,"Living wage, etc, for workers The State shall endeavour to secure, by suitable legislation or economic organisation or in any other way, to all workers, agricultural, industrial or otherwise, work, a living wage, conditions of work ensuring a decent standard of life and full enjoyment of leisure and social and cultural opportunities and, in particular, the State shall endeavour to promote cottage industries on an individual or co operative basis in rural areas""
Article 43A of Indian Constitution,""Participation of workers in management of industries The State shall take steps, by suitable legislation or in any other way, to secure the participation of workers in the management of undertakings, establishments or other organisations engaged in any industry"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 43A of Indian Constitution,"Participation of workers in management of industries The State shall take steps, by suitable legislation or in any other way, to secure the participation of workers in the management of undertakings, establishments or other organisations engaged in any industry""
Article 44 of Indian Constitution,Uniform civil code for the citizens The State shall endeavour to secure for the citizens a uniform civil code throughout the territory of India,""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 44 of Indian Constitution,"Uniform civil code for the citizens The State shall endeavour to secure for the citizens a uniform civil code throughout the territory of India""
Article 45 of Indian Constitution,""Provision for free and compulsory education for children The State shall endeavour to provide, within a period of ten years from the commencement of this Constitution, for free and compulsory education for all children until they complete the age of fourteen years"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 45 of Indian Constitution,"Provision for free and compulsory education for children The State shall endeavour to provide, within a period of ten years from the commencement of this Constitution, for free and compulsory education for all children until they complete the age of fourteen years""
Article 46 of Indian Constitution,""Promotion of educational and economic interests of Scheduled Castes, Scheduled Tribes and other weaker sections The State shall promote with special care the educational and economic interests of the weaker sections of the people, and, in particular, of the Scheduled Castes and the Scheduled Tribes, and shall protect them from social injustice and all forms of exploitation"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 46 of Indian Constitution,"Promotion of educational and economic interests of Scheduled Castes, Scheduled Tribes and other weaker sections The State shall promote with special care the educational and economic interests of the weaker sections of the people, and, in particular, of the Scheduled Castes and the Scheduled Tribes, and shall protect them from social injustice and all forms of exploitation""
Article 47 of Indian Constitution,""Duty of the State to raise the level of nutrition and the standard of living and to improve public health The State shall regard the raising of the level of nutrition and the standard of living of its people and the improvement of public health as among its primary duties and, in particular, the State shall endeavour to bring about prohibition of the consumption except for medicinal purposes of intoxicating drinks and of drugs which are injurious to health"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 47 of Indian Constitution,"Duty of the State to raise the level of nutrition and the standard of living and to improve public health The State shall regard the raising of the level of nutrition and the standard of living of its people and the improvement of public health as among its primary duties and, in particular, the State shall endeavour to bring about prohibition of the consumption except for medicinal purposes of intoxicating drinks and of drugs which are injurious to health""
Article 48 of Indian Constitution,""Organisation of agriculture and animal husbandry The State shall endeavour to organise agriculture and animal husbandry on modern and scientific lines and shall, in particular, take steps for preserving and improving the breeds, and prohibiting the slaughter, of cows and calves and other milch and draught cattle"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 48 of Indian Constitution,"Organisation of agriculture and animal husbandry The State shall endeavour to organise agriculture and animal husbandry on modern and scientific lines and shall, in particular, take steps for preserving and improving the breeds, and prohibiting the slaughter, of cows and calves and other milch and draught cattle""
Article 48A of Indian Constitution,Protection and improvement of environment and safeguarding of forests and wild life The State shall endeavour to protect and improve the environment and to safeguard the forests and wild life of the country,""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 48A of Indian Constitution,"Protection and improvement of environment and safeguarding of forests and wild life The State shall endeavour to protect and improve the environment and to safeguard the forests and wild life of the country""
Article 49 of Indian Constitution,""Protection of monuments and places and objects of national importance It shall be the obligation of the State to protect every monument or place or object of artistic or historic interests, declared by or under law made by Parliament to be of national importance, from spoliation, disfigurement, destruction, removal, disposal or export, as the case may be"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 49 of Indian Constitution,"Protection of monuments and places and objects of national importance It shall be the obligation of the State to protect every monument or place or object of artistic or historic interests, declared by or under law made by Parliament to be of national importance, from spoliation, disfigurement, destruction, removal, disposal or export, as the case may be""
Article 50 of Indian Constitution,Separation of judiciary from executive The State shall take steps to separate the judiciary from the executive in the public services of the State,""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 50 of Indian Constitution,"Separation of judiciary from executive The State shall take steps to separate the judiciary from the executive in the public services of the State""
Article 51 of Indian Constitution,""Promotion of international peace and security The State shall endeavour to
(a) promote international peace and security;
(b) maintain just and honourable relations between nations;
(c) foster respect for international law and treaty obligations in the dealings of organised peoples with one another; and encourage settlement of international disputes by arbitration PART IVA FUNDAMENTAL DUTIES"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 51 of Indian Constitution,"Promotion of international peace and security The State shall endeavour to
(a) promote international peace and security;
(b) maintain just and honourable relations between nations;
(c) foster respect for international law and treaty obligations in the dealings of organised peoples with one another; and encourage settlement of international disputes by arbitration PART IVA FUNDAMENTAL DUTIES""
Article 51A of Indian Constitution,""Fundamental duties It shall be the duty of every citizen of India (a) to abide by the Constitution and respect its ideals and institutions, the national Flag and the National Anthem;
(b) to cherish and follow the noble ideals which inspired our national struggle for freedom;
(c) to uphold and protect the sovereignty, unity and integrity of India;
(d) to defend the country and render national service when called upon to do so;
(e) to promote harmony and the spirit of common brotherhood amongst all the people of India transcending religious, linguistic and regional or sectional diversities; to renounce practices derogatory to the dignity of women;
(f) to value and preserve the rich heritage of our composite culture;
(g) to protect and improve the natural environment including forests, lakes, rivers and wild life, and to have compassion for living creatures;
(h) to develop the scientific temper, humanism and the spirit of inquiry and reform;
(i) to safeguard public property and to abjure violence;
(j) to strive towards excellence in all spheres of individual and collective activity so that the nation constantly rises to higher levels of endeavour and achievement PART V THE UNION CHAPTER I THE EXECUTIVE The President and Vice President"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 51A of Indian Constitution,"Fundamental duties It shall be the duty of every citizen of India (a) to abide by the Constitution and respect its ideals and institutions, the national Flag and the National Anthem;
(b) to cherish and follow the noble ideals which inspired our national struggle for freedom;
(c) to uphold and protect the sovereignty, unity and integrity of India;
(d) to defend the country and render national service when called upon to do so;
(e) to promote harmony and the spirit of common brotherhood amongst all the people of India transcending religious, linguistic and regional or sectional diversities; to renounce practices derogatory to the dignity of women;
(f) to value and preserve the rich heritage of our composite culture;
(g) to protect and improve the natural environment including forests, lakes, rivers and wild life, and to have compassion for living creatures;
(h) to develop the scientific temper, humanism and the spirit of inquiry and reform;
(i) to safeguard public property and to abjure violence;
(j) to strive towards excellence in all spheres of individual and collective activity so that the nation constantly rises to higher levels of endeavour and achievement PART V THE UNION CHAPTER I THE EXECUTIVE The President and Vice President""
Article 52 of Indian Constitution,The President of India There shall be a President of India,""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 52 of Indian Constitution,"The President of India There shall be a President of India""
Article 53 of Indian Constitution,""Executive power of the Union
(1) The executive power of the Union shall be vested in the President and shall be exercised by him either directly or through officers subordinate to him in accordance with this Constitution
(2) Without prejudice to the generality of the foregoing provision, the supreme command of the Defence Forces of the Union shall be vested in the President and the exercise thereof shall be regulated by law
(3) Nothing in this article shall
(a) be deemed to transfer to the President any functions conferred by any existing law on the Government of any State or other authority; or
(b) prevent Parliament from conferring by law functions on authorities other than the President"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 53 of Indian Constitution,"Executive power of the Union
(1) The executive power of the Union shall be vested in the President and shall be exercised by him either directly or through officers subordinate to him in accordance with this Constitution
(2) Without prejudice to the generality of the foregoing provision, the supreme command of the Defence Forces of the Union shall be vested in the President and the exercise thereof shall be regulated by law
(3) Nothing in this article shall
(a) be deemed to transfer to the President any functions conferred by any existing law on the Government of any State or other authority; or
(b) prevent Parliament from conferring by law functions on authorities other than the President""
Article 54 of Indian Constitution,Election of President The President shall be elected by the members of an electoral college consisting of the elected members of both Houses of Parliament; and the elected members of the Legislative Assemblies of the States,""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 54 of Indian Constitution,"Election of President The President shall be elected by the members of an electoral college consisting of the elected members of both Houses of Parliament; and the elected members of the Legislative Assemblies of the States""
Article 55 of Indian Constitution,""Manner of election of President
(1) As far as practicable, there shall be uniformity in the scale of representation of the d different States at the election of the President
(2) For the purpose of securing such uniformity among the States inter se as well as parity b between the States as a whole and the Union, the number of votes which each elected member of Parliament and of the Legislative Assembly of each State is entitled to cast at such election shall be determined in the following manner:
(a) every elected member of the Legislative Assembly of a State shall have as many votes as there are multiples of one thousand in the quotient obtained by dividing the population of the State by the total number of the elected members of the Assembly;
(b) if, after taking the said multiples of one thousand, the remainder is not less than five hundred, then the vote of each member referred to in sub clause (a) shall be further increased by one;
(c) each elected member of either House of Parliament shall have such number of votes as may be obtained by dividing the total number of votes assigned to the members of the Legislative Assemblies of the States under sub clause (a) and (b) by the total number of the elected members of both Houses of Parliament, fractions exceeding one half being counted as one and other fractions being disregarded
(3) The election of the President shall be held in accordance with the system of proportional representation by means of the single transferable vote and the voting at such election shall be by secret ballot Explanation n this article, the expression population means the population ascertained at the last preceding census of which the relevant figures have been published: Provided that the reference in this Explanation to the last preceding census of which the relevant figures have been published shall, until the relevant figures for the first census taken after the year 2000 have been published, be construed as a reference to the 1971 census"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 55 of Indian Constitution,"Manner of election of President
(1) As far as practicable, there shall be uniformity in the scale of representation of the d different States at the election of the President
(2) For the purpose of securing such uniformity among the States inter se as well as parity b between the States as a whole and the Union, the number of votes which each elected member of Parliament and of the Legislative Assembly of each State is entitled to cast at such election shall be determined in the following manner:
(a) every elected member of the Legislative Assembly of a State shall have as many votes as there are multiples of one thousand in the quotient obtained by dividing the population of the State by the total number of the elected members of the Assembly;
(b) if, after taking the said multiples of one thousand, the remainder is not less than five hundred, then the vote of each member referred to in sub clause (a) shall be further increased by one;
(c) each elected member of either House of Parliament shall have such number of votes as may be obtained by dividing the total number of votes assigned to the members of the Legislative Assemblies of the States under sub clause (a) and (b) by the total number of the elected members of both Houses of Parliament, fractions exceeding one half being counted as one and other fractions being disregarded
(3) The election of the President shall be held in accordance with the system of proportional representation by means of the single transferable vote and the voting at such election shall be by secret ballot Explanation n this article, the expression population means the population ascertained at the last preceding census of which the relevant figures have been published: Provided that the reference in this Explanation to the last preceding census of which the relevant figures have been published shall, until the relevant figures for the first census taken after the year 2000 have been published, be construed as a reference to the 1971 census""
Article 56 of Indian Constitution,""Term of office of President
(1) The President shall hold office for a term of five years from the date on which he enters upon his office: Provided that
(a) the President may, by writing under his hand addressed to the Vice President, resign his office;
(b) the President may, for violation of the constitution, be removed from office by impeachment in the manner provided in Article 61:
(c) the President shall, notwithstanding the expiration of his term, continue to hold office until his successor enters upon his office
(2) Any resignation addressed to the Vice President under clause (a) of the proviso to clause ( 1 ) shall forthwith be communicated by him to the Speaker of the House of the People"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 56 of Indian Constitution,"Term of office of President
(1) The President shall hold office for a term of five years from the date on which he enters upon his office: Provided that
(a) the President may, by writing under his hand addressed to the Vice President, resign his office;
(b) the President may, for violation of the constitution, be removed from office by impeachment in the manner provided in Article 61:
(c) the President shall, notwithstanding the expiration of his term, continue to hold office until his successor enters upon his office
(2) Any resignation addressed to the Vice President under clause (a) of the proviso to clause ( 1 ) shall forthwith be communicated by him to the Speaker of the House of the People""
Article 57 of Indian Constitution,""Eligibility for re election A person who holds, or who has held, office as President shall, subject to the other provisions of this Constitution, be eligible for re election to that office"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 57 of Indian Constitution,"Eligibility for re election A person who holds, or who has held, office as President shall, subject to the other provisions of this Constitution, be eligible for re election to that office""
Article 58 of Indian Constitution,""Qualifications for election as President
(1) No person shall be eligible for election as President unless he
(a) is a citizen of India,
(b) has completed the age of thirty five years, and
(c) is qualified for election as a member of the House of the People
(2) A person shall not be eligible for election as President if he holds any office of profit under the or the Government of any State or under any local or other authority subject to the control of any of the said Governments Explanation For the purposes of this article, a person shall not be deemed to hold any office of profit by reason only that he is the President or Vice President of the Union or the Governor of any State or is a Minister either for the Union or for any State"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 58 of Indian Constitution,"Qualifications for election as President
(1) No person shall be eligible for election as President unless he
(a) is a citizen of India,
(b) has completed the age of thirty five years, and
(c) is qualified for election as a member of the House of the People
(2) A person shall not be eligible for election as President if he holds any office of profit under the or the Government of any State or under any local or other authority subject to the control of any of the said Governments Explanation For the purposes of this article, a person shall not be deemed to hold any office of profit by reason only that he is the President or Vice President of the Union or the Governor of any State or is a Minister either for the Union or for any State""
Article 59 of Indian Constitution,""Conditions of Presidents office
(1) The President shall not be a member of either House of Parliament or of a House of the Legislature of any State, and if a member of either House of Parliament or of a House of the Legislature of any State be elected President, he shall be deemed to have vacated his seat in that House on the date on which he enters upon his office as President
(2) The President shall not hold any other office of profit
(3) The President shall be entitled without payment of rent to the use of his official residences and shall be also entitled to such emoluments, allowances and privileges as may be determined by Parliament by law and, until provision in that behalf is so made, such emoluments, allowances and privileges as are specified in the Second Schedule
(4) The emoluments and allowances of the President shall ot be diminished during his term of office"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 59 of Indian Constitution,"Conditions of Presidents office
(1) The President shall not be a member of either House of Parliament or of a House of the Legislature of any State, and if a member of either House of Parliament or of a House of the Legislature of any State be elected President, he shall be deemed to have vacated his seat in that House on the date on which he enters upon his office as President
(2) The President shall not hold any other office of profit
(3) The President shall be entitled without payment of rent to the use of his official residences and shall be also entitled to such emoluments, allowances and privileges as may be determined by Parliament by law and, until provision in that behalf is so made, such emoluments, allowances and privileges as are specified in the Second Schedule
(4) The emoluments and allowances of the President shall ot be diminished during his term of office""
Article 60 of Indian Constitution,""Oath or affirmation by the President Every President and every person acting as President or discharging the functions of the President shall, before entering upon his office, make and subscribe in the presence of the Chief Justice of India or, in his absence, the senior most Judge of the Supreme Court available, an oath or affirmation in the following form, that is to say swear in the name of God I, A B, do that I olemnly affirm will faithfully execute the office of President (or discharge the functions of thePresident) of India and will do the best of my ability preserve, protect and defend the Constitution and the law and that I will devote myself to the service and well being of the people of India"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
